is definitely prime(i: 2, j: 1)
is definitely prime(i: 3, j: 1)
is definitely prime(i: 3, j: 2)
is definitely prime(i: 4, j: 1)
is definitely prime(i: 5, j: 2)
is definitely prime(i: 5, j: 3)
is definitely prime(i: 6, j: 1)
is definitely prime(i: 6, j: 3)
is definitely prime(i: 6, j: 5)
is definitely prime(i: 7, j: 1)
is definitely prime(i: 7, j: 3)
is definitely prime(i: 7, j: 6)
is definitely prime(i: 9, j: 3)
is definitely prime(i: 9, j: 6)
is definitely prime(i: 9, j: 7)
is definitely prime(i: 9, j: 8)
is definitely prime(i: 10, j: 3)
is definitely prime(i: 10, j: 7)
is definitely prime(i: 11, j: 2)
is definitely prime(i: 11, j: 5)
is definitely prime(i: 11, j: 6)
is definitely prime(i: 12, j: 1)
is definitely prime(i: 12, j: 5)
is definitely prime(i: 13, j: 4)
is definitely prime(i: 13, j: 12)
is definitely prime(i: 14, j: 5)
is definitely prime(i: 14, j: 11)
is definitely prime(i: 15, j: 1)
is definitely prime(i: 15, j: 5)
is definitely prime(i: 15, j: 6)
is definitely prime(i: 15, j: 13)
is definitely prime(i: 16, j: 1)
is definitely prime(i: 17, j: 11)
is definitely prime(i: 17, j: 14)
is definitely prime(i: 17, j: 15)
is definitely prime(i: 18, j: 1)
is definitely prime(i: 18, j: 3)
is definitely prime(i: 18, j: 9)
is definitely prime(i: 18, j: 13)
is definitely prime(i: 19, j: 6)
is definitely prime(i: 19, j: 9)
is definitely prime(i: 19, j: 10)
is definitely prime(i: 19, j: 15)
is definitely prime(i: 19, j: 18)
is probably prime(i: 20, j: 5)
is probably prime(i: 20, j: 9)
is probably prime(i: 20, j: 17)
is probably prime(i: 21, j: 4)
is probably prime(i: 21, j: 12)
is probably prime(i: 22, j: 7)
is probably prime(i: 23, j: 3)
is probably prime(i: 23, j: 6)
is probably prime(i: 23, j: 14)
is probably prime(i: 23, j: 17)
is probably prime(i: 23, j: 18)
is probably prime(i: 24, j: 9)
is probably prime(i: 26, j: 17)
is probably prime(i: 26, j: 21)
is probably prime(i: 27, j: 15)
is probably prime(i: 27, j: 17)
is probably prime(i: 27, j: 21)
is probably prime(i: 27, j: 22)
